Type,Benchmark,Task,Instruction,Images
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Place this white jacket on me please,model_wp_000_img1_PRETTYGARDEN_Women39s_Boho_Floral_Maxi_Dress_Summer_Short_Sl.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,I want to see how this casual dress looks on me,portrait_w_001_ANRABESS_Womens_Summer_Maxi_Dress_Short_Sleeve_Casual_Loose_.jpg; w_dress_003_Sponsored_Ad_-_Zeagoo_Womens_Casual_Dress_for_Summer_Tank_Dr.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,I want to see how this cropped jacket looks on me,model_wp_001_img1_PRETTYGARDEN_Women39s_Summer_Floral_Boho_Maxi_Dress_Short_Sl.jpg; w_outer_006_Sponsored_Ad_-_Grabsa_Women_s_Button_Down_Long_Sleeve_Croppe.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Show what I'd look like in this knit top and skinny pants,model_wp_002_img1_PRETTYGARDEN_Summer_Dresses_for_Women_2026_Casual_Floral_Boh.jpg; w_top_009_Sponsored_Ad_-_Artfish_Women_s_Round_Neck_Long_Sleeve_Knit_R.jpg; w_bottom_000_Sponsored_Ad_-_KUNMI_Womens_Classic_High_Waisted_Skinny_Stre.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Place this casual dress and sneakers on me please,model_wp_003_img1_Women39s_2026_Spring_Formal_Evening_Gown_Elegant_Long_Prom_D.jpg; w_dress_002_Sponsored_Ad_-_Summer_Casual_Floral_Dresses_for_Women_Beach_.jpg; w_shoe_003_Sponsored_Ad_-_SERNIAL_Womens_White_Tennis_Shoes_PU_Leather_.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Place this casual dress on me please,model_wp_004_img1_ZESICA_Women39s_Long_Sleeve_Floral_Bodycon_Dress_2026_Spring.jpg; w_top_005_Sponsored_Ad_-_Fayenne_Womens_Tops_Dressy_Casual_V_Neck_Ruff.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,I want to see how this blazer and bodycon dress looks on me,portrait_w_006_Womens_Summer_Dresses_Floral_Patterns_Vintage_Elegant_Cockta.jpg; w_outer_008_Sponsored_Ad_-_Cicy_Bell_Womens_Casual_Blazers_Open_Front_Lo.jpg; w_dress_009_CHICME_Bodycon_Midi_Dress_for_Women_Mesh_Puff_Sleeve_Slit_Wo.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Put this denim jacket and jeans on me,model_wp_005_img1_BTFBM_Women_Summer_Floral_Maxi_Dresses_Elegant_Spaghetti_Str.jpg; w_outer_001_Wrangler_Authentics_womens_Stretch_Denim_Jacket.jpg; w_bottom_002_Sponsored_Ad_-_Rammus_Jeggings_Pull_on_Stretchy_Jeans_for_Wo.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Try this dress on my body,model_wp_006_img1_Verdusa_Women39s_Floral_Mesh_Maxi_Dresses_Elegant_Formal_Lon.jpg; w_dress_004_OFEEFAN_Womens_Summer_Dresses_Fashion_Short_Sleeve_Crew_Neck.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,"Apply this denim jacket, linen pants, and sneakers to my photo",portrait_w_009_Flessibili_Womens_Summer_Floral_Maxi_Dress_Wedding_Guest_Par.jpg; w_outer_007_Sponsored_Ad_-_Justalwart_Women_s_Oversized_Vintage_Denim_Ja.jpg; w_bottom_008_Sponsored_Ad_-_Amazon_Essentials_Women_s_Pull_On_Linen_Blend.jpg; w_shoe_009_Sponsored_Ad_-_Abbleet_Women_s_Ankle_Boots_Pointed_Toe_Chunk.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Show me wearing this top and jeans,model_wp_007_img1_Verdusa_Women39s_Floral_Mesh_Maxi_Dresses_Elegant_Formal_Lon.jpg; w_top_000_Sponsored_Ad_-_domirica_Elegant_Button_Up_Shirts_for_Women_L.jpg; w_bottom_001_Sponsored_Ad_-_KUNMI_Women_s_Wide_Leg_Jeans_High_Waisted_Str.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Dress me up with this casual dress and sneakers,portrait_w_011_Maxigerui_Women_s_Summer_Floral_Maxi_Dress_Spring_Wedding_Gu.jpg; w_dress_003_Sponsored_Ad_-_Zeagoo_Womens_Casual_Dress_for_Summer_Tank_Dr.jpg; w_shoe_004_adidas_Women_s_Grand_Court_2_0_Tennis_Shoe.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Put this top on me,model_wp_008_img1_Verdusa_Women39s_Floral_Mesh_Maxi_Dresses_Elegant_Formal_Lon.jpg; w_top_006_Sponsored_Ad_-_Missufe_Women_s_Crew_Neck_Short_Sleeve_Ribbed.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Apply this blazer and casual dress to my photo,portrait_w_013_Sissyaki_Women_s_Floral_Maxi_Dress_2026_Summer_Spring_Weddin.jpg; w_outer_009_Ahlaray_Women_s_Blazer_Business_Casual_Lapel_Collar_Long_Sle.jpg; w_dress_000_Sponsored_Ad_-_POPYOUNG_Women_s_Summer_T_Shirt_Dress_Casual_.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Show what I'd look like in this jacket and jeans,model_wp_009_img1_ZESICA_Women39s_Summer_Off_Shoulder_Floral_Bodycon_Maxi_Dres.jpg; w_outer_002_Lee_Women_s_Rider_Jacket.jpg; w_bottom_003_Sponsored_Ad_-_Vibrant_Women_s_Denim_Skinny_Jeans_Super_Stre.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Show me wearing this top and dress,model_mp_000_img1_MAGE_MALE_Men39s_3_Pieces_Suit_Elegant_Solid_One_Button_Slim.jpg; m_top_000_Sponsored_Ad_-_Nautica_Men_s_Classic_Fit_Short_Sleeve_Dual_T.jpg; m_bottom_001_Sponsored_Ad_-_Libin_Mens_Golf_Pants_Stretch_Work_Dress_Pant.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Dress me up with this blazer and chinos,model_mp_001_img1_MAGE_MALE_Men39s_3_Pieces_Suit_Elegant_Solid_One_Button_Slim.jpg; m_outer_003_COOFANDY_Mens_Casual_Blazer_Knit_Sport_Coat_Lightweight_Two_.jpg; m_bottom_004_Dockers_Men_s_Slim_Fit_Signature_Khaki_Lux_Cotton_Stretch_Pa.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Apply this blazer to my photo,model_mp_002_img1_MAGE_MALE_Men39s_3_Pieces_Suit_Elegant_Solid_One_Button_Slim.jpg; m_outer_006_Sponsored_Ad_-_COOFANDY_Mens_Casual_Blazer_Knit_Sport_Coat_L.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Apply this top to my photo,model_mp_003_img1_LUPURTY_Suits_for_Men_3_Piece_Men39s_Suit_Slim_Fit_Solid_Jac.jpg; m_top_009_Sponsored_Ad_-_Field_Stream_Men_s_Hemingway_Long_Sleeve_Henl.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Try on this outfit for me,model_mp_004_img1_Men39s_3_Piece_Linen_Suits_Casual_Lightweight_Blazer_Jackets.jpg; m_outer_002_PJ_PAUL_JONES_Men_s_Lightweight_Sport_Coat_Casual_One_Button.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Virtually try on this polo shirt for me,model_mp_005_img1_Mens_Suit_Slim_Fit_3_Piece_Double_Breasted_Suit_Men_Formal_T.jpg; m_top_005_Lacoste_Men_s_Original_Cotton_Pique_Polo.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Apply this bomber jacket to my photo,model_mp_006_img1_WOMS_Mens_Suit_3_Pieces_Slim_Fit_Suits_for_Men_Formal_Tuxedo.jpg; m_outer_008_TACVASEN_Men_s_Bomber_Jacket_Lightweight_Casual_Spring_Fall_.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Can you dress me in this polo shirt and skinny pants?,model_mp_007_img1_WULFUL_Mens_Slim_Fit_Suit_One_Button_3-Piece_Blazer_Dress_Bu.jpg; m_top_001_Sponsored_Ad_-_Nautica_Men_s_Performance_Pique_Polo_Shirt.jpg; m_bottom_002_Sponsored_Ad_-_Plaid_Plain_Men_s_Skinny_Stretchy_Khaki_Pants.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Try this blazer and chinos on my body,model_mp_008_img1_Wangyue_Mens_Suit_3_Piece_Slim_Fit_Suit_for_Men_Formal_Busin.jpg; m_outer_004_PJ_PAUL_JONES_Men_s_Casual_Knit_Blazer_Suit_Jackets_Two_Butt.jpg; m_bottom_005_Amazon_Essentials_Men_s_Slim-Fit_Casual_Stretch_Chino_Pant.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,"Virtually try on this jacket, pants, and sneakers for me",model_mp_009_img1_Linen_Mens_Suits_3_Piece_Slim_Fit_Tuxedo_Suit_for_Men_Beach_.jpg; m_outer_007_Sponsored_Ad_-_Members_Only_Original_Iconic_Racer_Jacket_for.jpg; m_bottom_008_Sponsored_Ad_-_Men_s_Straight_Fit_Stretch_Business_Casual_Je.jpg; m_shoe_009_Sponsored_Ad_-_Bruno_Marc_Men_s_Lace_Up_Soft_Cap-Toe_Formal_.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Can you dress me in this top and dress?,model_mp_010_img1_Comdecevis_Men39s_Linen_Shorts_Casual_Elastic_Waist_Drawstri.jpg; m_top_000_Sponsored_Ad_-_Nautica_Men_s_Classic_Fit_Short_Sleeve_Dual_T.jpg; m_bottom_001_Sponsored_Ad_-_Libin_Mens_Golf_Pants_Stretch_Work_Dress_Pant.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Try this blazer and sneakers on my body,model_mp_011_img1_Comdecevis_Men39s_Linen_Shorts_Casual_Elastic_Waist_Drawstri.jpg; m_outer_003_COOFANDY_Mens_Casual_Blazer_Knit_Sport_Coat_Lightweight_Two_.jpg; m_shoe_004_Sponsored_Ad_-_Project_Cloud_Shoes_for_Men_-_100_Genuine_Lea.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Show me wearing this polo shirt and sneakers,model_mp_012_img1_Comdecevis_Men39s_Linen_Shorts_Casual_Elastic_Waist_Drawstri.jpg; m_top_006_U_S_Polo_Assn_Men_s_Classic_Polo_Shirt_Two-Button_Closure_Pi.jpg; m_shoe_007_Sponsored_Ad_-_Marc_Joseph_New_York_Men_s_Baker_Street_Hands.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Can you dress me in this bomber jacket?,model_mp_013_img1_COOFANDY_Mens_2_Pieces_Cotton_Linen_Sets_Short_Sleeve_Casual.jpg; m_outer_009_TACVASEN_Men_s_Jackets-Bomber_Jacket_Fall_Winter_Warm_Windbr.jpg
Edit,Virtual Try-On,Place one or more clothing items onto a user body,Put this polo shirt and chinos on me,model_mp_014_img1_Summer_Beach_party_hawaiian_Outfits_2_Piece_Short_Sleeve_Shi.jpg; m_top_002_Sponsored_Ad_-_Port_Authority_Core_Classic_Pique_Polo_K100.jpg; m_bottom_003_Sponsored_Ad_-_Dockers_Men_s_Slim_Fit_Easy_Khaki_Pants.jpg
Edit,Outfit Styling,Suggest outfit styling combinations given an anchor clothing item,Generate outfit ideas that complement this floral boho maxi dress,model_wp_000_img1_PRETTYGARDEN_Women39s_Boho_Floral_Maxi_Dress_Summer_Short_Sl.jpg
Edit,Outfit Styling,Suggest outfit styling combinations given an anchor clothing item,Suggest complete looks to style with this casual green maxi dress,portrait_w_001_ANRABESS_Womens_Summer_Maxi_Dress_Short_Sleeve_Casual_Loose_.jpg
Edit,Outfit Styling,Suggest outfit styling combinations given an anchor clothing item,What accessories and layers would pair well with this black wrap midi dress?,model_wp_001_img1_PRETTYGARDEN_Women39s_Summer_Floral_Boho_Maxi_Dress_Short_Sl.jpg
Edit,Outfit Styling,Suggest outfit styling combinations given an anchor clothing item,Build a head-to-toe look around this casual floral dress,model_wp_002_img1_PRETTYGARDEN_Summer_Dresses_for_Women_2026_Casual_Floral_Boh.jpg
Edit,Outfit Styling,Suggest outfit styling combinations given an anchor clothing item,Create styling options for this navy formal evening gown,model_wp_003_img1_Women39s_2026_Spring_Formal_Evening_Gown_Elegant_Long_Prom_D.jpg
Edit,Outfit Styling,Suggest outfit styling combinations given an anchor clothing item,Show me outfit combinations featuring this floral bodycon dress,model_wp_004_img1_ZESICA_Women39s_Long_Sleeve_Floral_Bodycon_Dress_2026_Spring.jpg
Edit,Outfit Styling,Suggest outfit styling combinations given an anchor clothing item,Design a complete outfit centered on this elegant green patterned wrap dress,portrait_w_006_Womens_Summer_Dresses_Floral_Patterns_Vintage_Elegant_Cockta.jpg
Edit,Outfit Styling,Suggest outfit styling combinations given an anchor clothing item,Recommend complementary pieces for this floral maxi dress,model_wp_005_img1_BTFBM_Women_Summer_Floral_Maxi_Dresses_Elegant_Spaghetti_Str.jpg
Edit,Outfit Styling,Suggest outfit styling combinations given an anchor clothing item,Put together a full look that goes with this floral mesh maxi dress,model_wp_006_img1_Verdusa_Women39s_Floral_Mesh_Maxi_Dresses_Elegant_Formal_Lon.jpg
Edit,Outfit Styling,Suggest outfit styling combinations given an anchor clothing item,Style a weekend outfit around this colorful floral midi dress,portrait_w_009_Flessibili_Womens_Summer_Floral_Maxi_Dress_Wedding_Guest_Par.jpg
Edit,Outfit Styling,Suggest outfit styling combinations given an anchor clothing item,Suggest a date-night look with this elegant mesh dress,model_wp_007_img1_Verdusa_Women39s_Floral_Mesh_Maxi_Dresses_Elegant_Formal_Lon.jpg
Edit,Outfit Styling,Suggest outfit styling combinations given an anchor clothing item,Create a casual chic outfit with this floral maxi dress,portrait_w_011_Maxigerui_Women_s_Summer_Floral_Maxi_Dress_Spring_Wedding_Gu.jpg
Edit,Outfit Styling,Suggest outfit styling combinations given an anchor clothing item,What shoes and accessories go best with this floral mesh maxi dress?,model_wp_008_img1_Verdusa_Women39s_Floral_Mesh_Maxi_Dresses_Elegant_Formal_Lon.jpg
Edit,Outfit Styling,Suggest outfit styling combinations given an anchor clothing item,Generate a brunch outfit featuring this pink floral maxi dress,portrait_w_013_Sissyaki_Women_s_Floral_Maxi_Dress_2026_Summer_Spring_Weddin.jpg
Edit,Outfit Styling,Suggest outfit styling combinations given an anchor clothing item,Design a layered look around this off-shoulder floral dress,model_wp_009_img1_ZESICA_Women39s_Summer_Off_Shoulder_Floral_Bodycon_Maxi_Dres.jpg
Edit,Outfit Styling,Suggest outfit styling combinations given an anchor clothing item,Generate outfit ideas that complement this black three-piece suit,model_mp_000_img1_MAGE_MALE_Men39s_3_Pieces_Suit_Elegant_Solid_One_Button_Slim.jpg
Edit,Outfit Styling,Suggest outfit styling combinations given an anchor clothing item,Suggest complete looks to style with this navy three-piece suit,model_mp_001_img1_MAGE_MALE_Men39s_3_Pieces_Suit_Elegant_Solid_One_Button_Slim.jpg
Edit,Outfit Styling,Suggest outfit styling combinations given an anchor clothing item,What accessories would pair well with this gray three-piece suit?,model_mp_002_img1_MAGE_MALE_Men39s_3_Pieces_Suit_Elegant_Solid_One_Button_Slim.jpg
Edit,Outfit Styling,Suggest outfit styling combinations given an anchor clothing item,Build a head-to-toe look around this slim-fit suit,model_mp_003_img1_LUPURTY_Suits_for_Men_3_Piece_Men39s_Suit_Slim_Fit_Solid_Jac.jpg
Edit,Outfit Styling,Suggest outfit styling combinations given an anchor clothing item,Create styling options for this linen blazer set,model_mp_004_img1_Men39s_3_Piece_Linen_Suits_Casual_Lightweight_Blazer_Jackets.jpg
Edit,Outfit Styling,Suggest outfit styling combinations given an anchor clothing item,Show me outfit combinations featuring this double-breasted suit,model_mp_005_img1_Mens_Suit_Slim_Fit_3_Piece_Double_Breasted_Suit_Men_Formal_T.jpg
Edit,Outfit Styling,Suggest outfit styling combinations given an anchor clothing item,Design a complete outfit centered on this slim-fit tuxedo,model_mp_006_img1_WOMS_Mens_Suit_3_Pieces_Slim_Fit_Suits_for_Men_Formal_Tuxedo.jpg
Edit,Outfit Styling,Suggest outfit styling combinations given an anchor clothing item,Recommend complementary pieces for this classic blazer suit,model_mp_007_img1_WULFUL_Mens_Slim_Fit_Suit_One_Button_3-Piece_Blazer_Dress_Bu.jpg
Edit,Outfit Styling,Suggest outfit styling combinations given an anchor clothing item,Put together a full look that goes with this tan three-piece suit,model_mp_008_img1_Wangyue_Mens_Suit_3_Piece_Slim_Fit_Suit_for_Men_Formal_Busin.jpg
Edit,Outfit Styling,Suggest outfit styling combinations given an anchor clothing item,Style a casual weekend outfit around this linen suit,model_mp_009_img1_Linen_Mens_Suits_3_Piece_Slim_Fit_Tuxedo_Suit_for_Men_Beach_.jpg
Edit,Outfit Styling,Suggest outfit styling combinations given an anchor clothing item,Suggest a smart-casual look with this linen shorts outfit,model_mp_010_img1_Comdecevis_Men39s_Linen_Shorts_Casual_Elastic_Waist_Drawstri.jpg
Edit,Outfit Styling,Suggest outfit styling combinations given an anchor clothing item,Create a business casual outfit with this casual linen shorts set,model_mp_011_img1_Comdecevis_Men39s_Linen_Shorts_Casual_Elastic_Waist_Drawstri.jpg
Edit,Outfit Styling,Suggest outfit styling combinations given an anchor clothing item,What shoes go best with this linen shorts casual set?,model_mp_012_img1_Comdecevis_Men39s_Linen_Shorts_Casual_Elastic_Waist_Drawstri.jpg
Edit,Outfit Styling,Suggest outfit styling combinations given an anchor clothing item,Generate a date-night look featuring this cotton linen shirt and pants,model_mp_013_img1_COOFANDY_Mens_2_Pieces_Cotton_Linen_Sets_Short_Sleeve_Casual.jpg
Edit,Outfit Styling,Suggest outfit styling combinations given an anchor clothing item,Design a layered outfit around this Hawaiian beach outfit,model_mp_014_img1_Summer_Beach_party_hawaiian_Outfits_2_Piece_Short_Sleeve_Shi.jpg
Edit,Garment Editing,"Modify clothing attributes in an image such as color, fabric, or fit while preserving the garment structure",Change the color of this dress to emerald green,model_wp_000_img1_PRETTYGARDEN_Women39s_Boho_Floral_Maxi_Dress_Summer_Short_Sl.jpg
Edit,Garment Editing,"Modify clothing attributes in an image such as color, fabric, or fit while preserving the garment structure",Make this dress sleeveless and change the fabric to silk,portrait_w_001_ANRABESS_Womens_Summer_Maxi_Dress_Short_Sleeve_Casual_Loose_.jpg
Edit,Garment Editing,"Modify clothing attributes in an image such as color, fabric, or fit while preserving the garment structure",Convert this midi dress to a mini length and add a floral pattern,model_wp_001_img1_PRETTYGARDEN_Women39s_Summer_Floral_Boho_Maxi_Dress_Short_Sl.jpg
Edit,Garment Editing,"Modify clothing attributes in an image such as color, fabric, or fit while preserving the garment structure",Transform this dress into a cropped version in pastel pink,model_wp_002_img1_PRETTYGARDEN_Summer_Dresses_for_Women_2026_Casual_Floral_Boh.jpg
Edit,Garment Editing,"Modify clothing attributes in an image such as color, fabric, or fit while preserving the garment structure",Change the neckline of this dress from round to V-neck,model_wp_003_img1_Women39s_2026_Spring_Formal_Evening_Gown_Elegant_Long_Prom_D.jpg
Edit,Garment Editing,"Modify clothing attributes in an image such as color, fabric, or fit while preserving the garment structure",Make this outfit distressed and add a more casual feel,model_wp_004_img1_ZESICA_Women39s_Long_Sleeve_Floral_Bodycon_Dress_2026_Spring.jpg
Edit,Garment Editing,"Modify clothing attributes in an image such as color, fabric, or fit while preserving the garment structure",Turn this summer dress into a long-sleeve winter version,portrait_w_006_Womens_Summer_Dresses_Floral_Patterns_Vintage_Elegant_Cockta.jpg
Edit,Garment Editing,"Modify clothing attributes in an image such as color, fabric, or fit while preserving the garment structure",Change this dress to a slim fit silhouette in navy,model_wp_005_img1_BTFBM_Women_Summer_Floral_Maxi_Dresses_Elegant_Spaghetti_Str.jpg
Edit,Garment Editing,"Modify clothing attributes in an image such as color, fabric, or fit while preserving the garment structure",Transform this outfit into an evening-ready satin version,model_wp_006_img1_Verdusa_Women39s_Floral_Mesh_Maxi_Dresses_Elegant_Formal_Lon.jpg
Edit,Garment Editing,"Modify clothing attributes in an image such as color, fabric, or fit while preserving the garment structure",Make this dress oversized and change it to olive green,portrait_w_009_Flessibili_Womens_Summer_Floral_Maxi_Dress_Wedding_Guest_Par.jpg
Edit,Garment Editing,"Modify clothing attributes in an image such as color, fabric, or fit while preserving the garment structure",Add ruffles to this dress and change it to burgundy,model_wp_007_img1_Verdusa_Women39s_Floral_Mesh_Maxi_Dresses_Elegant_Formal_Lon.jpg
Edit,Garment Editing,"Modify clothing attributes in an image such as color, fabric, or fit while preserving the garment structure",Convert this dress to a full-length gown in black,portrait_w_011_Maxigerui_Women_s_Summer_Floral_Maxi_Dress_Spring_Wedding_Gu.jpg
Edit,Garment Editing,"Modify clothing attributes in an image such as color, fabric, or fit while preserving the garment structure",Change this dress from its current color to classic black,model_wp_008_img1_Verdusa_Women39s_Floral_Mesh_Maxi_Dresses_Elegant_Formal_Lon.jpg
Edit,Garment Editing,"Modify clothing attributes in an image such as color, fabric, or fit while preserving the garment structure",Make this dress shorter and add a belt detail,portrait_w_013_Sissyaki_Women_s_Floral_Maxi_Dress_2026_Summer_Spring_Weddin.jpg
Edit,Garment Editing,"Modify clothing attributes in an image such as color, fabric, or fit while preserving the garment structure",Transform this outfit into an off-shoulder style in coral,model_wp_009_img1_ZESICA_Women39s_Summer_Off_Shoulder_Floral_Bodycon_Maxi_Dres.jpg
Edit,Garment Editing,"Modify clothing attributes in an image such as color, fabric, or fit while preserving the garment structure",Change this shirt from its current color to navy blue,model_mp_000_img1_MAGE_MALE_Men39s_3_Pieces_Suit_Elegant_Solid_One_Button_Slim.jpg
Edit,Garment Editing,"Modify clothing attributes in an image such as color, fabric, or fit while preserving the garment structure",Make this outfit double-breasted and change to charcoal,model_mp_001_img1_MAGE_MALE_Men39s_3_Pieces_Suit_Elegant_Solid_One_Button_Slim.jpg
Edit,Garment Editing,"Modify clothing attributes in an image such as color, fabric, or fit while preserving the garment structure",Convert these pants to slim fit in dark wash,model_mp_002_img1_MAGE_MALE_Men39s_3_Pieces_Suit_Elegant_Solid_One_Button_Slim.jpg
